"event_number","event_number_niskin","ship","cruise","date_time_utc","latitude","longitude","depth","filter_size","replicate","chl","phaeo","iode_quality_flag","fluorometer"
"MVCO_001","MVCO_001_00","","",2003-05-10 19:00:00,41.325,-70.5667,0,">0","a",0.878,0.181,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_001","MVCO_001_00","","",2003-05-10 19:00:00,41.325,-70.5667,0,">0","b",0.892,0.152,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_002","MVCO_002_00","","",2003-05-19 14:30:00,41.325,-70.5667,0,">0","a",1.223,0.276,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_002","MVCO_002_00","","",2003-05-19 14:30:00,41.325,-70.5667,0,">0","b",1.137,0.308,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_004","MVCO_004_00","","",2003-06-03 14:45:00,41.325,-70.5667,0,">0","a",1.238,0.309,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_004","MVCO_004_00","","",2003-06-03 14:45:00,41.325,-70.5667,0,">0","b",1.227,0.313,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","b",1.687,0.351,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","c",1.63,0.404,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","d",1.63,0.38,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","a",1.418,0.278,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","b",1.478,0.238,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","c",1.516,0.189,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","d",1.493,0.227,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_007","MVCO_007_00","","",2003-07-09 17:30:00,41.325,-70.5667,0,">0","a",1.79,0.408,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_007","MVCO_007_00","","",2003-07-09 17:30:00,41.325,-70.5667,0,">0","b",1.77,0.498,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_008","MVCO_008_00","","",2003-07-31 18:15:00,41.325,-70.5667,0,">0","a",1.485,0.361,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_008","MVCO_008_00","","",2003-07-31 18:15:00,41.325,-70.5667,0,">0","b",1.575,0.374,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_009","MVCO_009_00","","",2003-08-13 17:30:00,41.325,-70.5667,0,">0","a",2.678,0.686,1,"Turner Designs Aquafluor Handheld Serial Number 800446"
"MVCO_009","MVCO_009_00","","",2003-08-13 17:30:00,41.325,-70.5667,0,">0","b",2.568,0.623,1,"Turner Designs Aquafluor Handheld Serial Number 800446"
"MVCO_010","MVCO_010_00","","",2003-08-15 17:00:00,41.325,-70.5667,0,">0","a",2.059,0.286,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_010","MVCO_010_00","","",2003-08-15 17:00:00,41.325,-70.5667,0,">0","b",2.202,0.395,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
